EmpID,Age,AgeGroup,Attrition,Department,EducationField,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,Custom,Years at company,Experience Slab Group,Salary,Salary Slab,Performance Rating
RM1116,34,26-35,No,Research & Development,Medical,Male,1,Research Scientist,4,Single,1,No,13,1,4,1,1,0,1116,0-5 Years,0-5 Years,145000,100K - 150K,2
RM1135,35,26-35,No,Research & Development,Life Sciences,Male,1,Laboratory Technician,4,Married,1,No,18,1,5,2,1,0,1135,0-5 Years,0-5 Years,58000,50K - 100K,2
RM1206,32,26-35,Yes,Research & Development,Life Sciences,Male,1,Laboratory Technician,2,Single,1,No,12,1,2,3,1,0,1206,0-5 Years,0-5 Years,58000,50K - 100K,2
RM1223,24,18-25,Yes,Human Resources,Human Resources,Male,1,Human Resources,3,Married,1,No,11,1,2,3,1,0,1223,0-5 Years,0-5 Years,125000,100K - 150K,2
RM1259,29,26-35,No,Research & Development,Technical Degree,Female,1,Research Scientist,1,Divorced,1,No,13,1,2,3,1,0,1259,0-5 Years,0-5 Years,145000,100K - 150K,2
RM1263,43,36-45,Yes,Research & Development,Technical Degree,Male,1,Research Scientist,3,Married,9,Yes,16,6,4,3,1,0,1263,0-5 Years,6-10 Years,145000,100K - 150K,3
RM1274,22,18-25,Yes,Research & Development,Medical,Female,1,Laboratory Technician,1,Married,1,Yes,17,1,6,3,1,0,1274,0-5 Years,0-5 Years,58000,50K - 100K,2
RM1313,31,26-35,Yes,Human Resources,Human Resources,Male,1,Human Resources,1,Married,0,No,17,2,4,3,1,0,1313,0-5 Years,0-5 Years,125000,100K - 150K,2
RM1330,29,26-35,No,Human Resources,Medical,Male,1,Human Resources,2,Married,1,No,11,1,3,3,1,0,1330,0-5 Years,0-5 Years,125000,100K - 150K,2
RM1338,28,26-35,No,Sales,Medical,Female,1,Sales Representative,2,Married,1,No,19,1,3,3,1,0,1338,0-5 Years,0-5 Years,80000,50K - 100K,2
RM1339,30,26-35,Yes,Sales,Medical,Male,1,Sales Representative,4,Single,1,No,13,1,3,2,1,0,1339,0-5 Years,0-5 Years,80000,50K - 100K,2
RM1366,29,26-35,Yes,Sales,Technical Degree,Male,1,Sales Representative,1,Single,1,No,17,1,3,3,1,0,1366,0-5 Years,0-5 Years,80000,50K - 100K,2
RM1380,27,26-35,Yes,Human Resources,Human Resources,Female,1,Human Resources,2,Married,1,No,12,1,2,3,1,0,1380,0-5 Years,0-5 Years,125000,100K - 150K,2
RM1392,38,36-45,No,Sales,Life Sciences,Male,1,Sales Representative,1,Single,4,No,14,20,3,2,1,0,1392,0-5 Years,16-20 Years,80000,50K - 100K,3
RM1403,31,26-35,No,Research & Development,Medical,Female,1,Laboratory Technician,4,Divorced,1,Yes,11,1,4,3,1,0,1403,0-5 Years,0-5 Years,58000,50K - 100K,2
RM1428,40,36-45,No,Research & Development,Life Sciences,Male,1,Laboratory Technician,4,Married,8,No,19,8,3,2,1,0,1428,0-5 Years,6-10 Years,58000,50K - 100K,4
RM150,19,18-25,No,Research & Development,Medical,Female,1,Laboratory Technician,2,Single,1,No,14,1,3,3,1,0,150,0-5 Years,0-5 Years,58000,50K - 100K,2
RM226,59,55+,No,Research & Development,Life Sciences,Male,1,Research Scientist,4,Married,3,No,17,7,6,3,1,0,226,0-5 Years,6-10 Years,145000,100K - 150K,3
RM259,51,46-55,No,Research & Development,Life Sciences,Male,1,Research Scientist,4,Married,1,No,11,1,0,2,1,0,259,0-5 Years,0-5 Years,145000,100K - 150K,2
RM299,36,36-45,No,Research & Development,Life Sciences,Male,1,Laboratory Technician,4,Married,4,No,18,4,2,3,1,0,299,0-5 Years,0-5 Years,58000,50K - 100K,3
RM364,33,26-35,Yes,Sales,Marketing,Female,1,Sales Representative,3,Single,1,Yes,13,1,2,3,1,0,364,0-5 Years,0-5 Years,80000,50K - 100K,2
RM371,21,18-25,Yes,Sales,Life Sciences,Female,1,Sales Representative,2,Single,1,No,15,1,0,3,1,0,371,0-5 Years,0-5 Years,80000,50K - 100K,2
RM382,30,26-35,No,Sales,Technical Degree,Male,1,Sales Representative,2,Married,1,No,18,1,3,3,1,0,382,0-5 Years,0-5 Years,80000,50K - 100K,2
RM423,19,18-25,Yes,Human Resources,Technical Degree,Male,1,Human Resources,4,Single,1,No,12,1,3,4,1,0,423,0-5 Years,0-5 Years,125000,100K - 150K,2
RM464,26,26-35,Yes,Research & Development,Technical Degree,Male,1,Laboratory Technician,4,Single,1,Yes,18,1,3,1,1,0,464,0-5 Years,0-5 Years,58000,50K - 100K,2
RM481,30,26-35,Yes,Sales,Life Sciences,Male,1,Sales Representative,1,Married,1,No,18,1,2,4,1,0,481,0-5 Years,0-5 Years,80000,50K - 100K,2
RM488,20,18-25,No,Research & Development,Life Sciences,Female,1,Research Scientist,2,Single,1,No,13,1,0,4,1,0,488,0-5 Years,0-5 Years,145000,100K - 150K,2
RM516,35,26-35,No,Research & Development,Life Sciences,Male,1,Laboratory Technician,3,Married,1,No,18,1,3,3,1,0,516,0-5 Years,0-5 Years,58000,50K - 100K,2
RM523,37,36-45,No,Research & Development,Life Sciences,Male,1,Research Scientist,4,Single,3,No,17,4,2,3,1,0,523,0-5 Years,0-5 Years,145000,100K - 150K,3
RM547,29,26-35,No,Sales,Life Sciences,Male,1,Sales Representative,3,Single,1,No,11,1,6,3,1,0,547,0-5 Years,0-5 Years,80000,50K - 100K,2
RM560,38,36-45,No,Research & Development,Medical,Male,1,Research Scientist,3,Married,6,Yes,13,6,0,1,1,0,560,0-5 Years,6-10 Years,145000,100K - 150K,3
RM587,24,18-25,No,Research & Development,Life Sciences,Male,1,Laboratory Technician,2,Divorced,1,No,11,1,4,3,1,0,587,0-5 Years,0-5 Years,58000,50K - 100K,2
RM590,29,26-35,Yes,Research & Development,Life Sciences,Female,1,Laboratory Technician,1,Married,1,Yes,11,1,1,3,1,0,590,0-5 Years,0-5 Years,58000,50K - 100K,2
RM604,45,36-45,No,Research & Development,Life Sciences,Female,1,Research Scientist,3,Single,1,No,14,1,3,3,1,0,604,0-5 Years,0-5 Years,145000,100K - 150K,2
RM661,58,55+,Yes,Research & Development,Life Sciences,Male,1,Laboratory Technician,4,Divorced,9,Yes,14,3,3,2,1,0,661,0-5 Years,0-5 Years,58000,50K - 100K,2
RM664,21,18-25,Yes,Research & Development,Other,Female,1,Research Scientist,4,Single,1,No,19,1,3,2,1,0,664,0-5 Years,0-5 Years,145000,100K - 150K,2
RM684,25,18-25,Yes,Sales,Marketing,Male,1,Sales Representative,2,Married,1,Yes,18,1,2,3,1,0,684,0-5 Years,0-5 Years,80000,50K - 100K,2
RM689,19,18-25,Yes,Sales,Other,Male,1,Sales Representative,2,Single,1,Yes,13,1,3,4,1,0,689,0-5 Years,0-5 Years,80000,50K - 100K,2
RM690,20,18-25,Yes,Research & Development,Technical Degree,Male,1,Laboratory Technician,1,Single,1,No,19,1,2,3,1,0,690,0-5 Years,0-5 Years,58000,50K - 100K,2
RM732,20,18-25,Yes,Research & Development,Medical,Female,1,Research Scientist,1,Single,1,Yes,15,1,2,3,1,0,732,0-5 Years,0-5 Years,145000,100K - 150K,2
RM743,50,46-55,No,Research & Development,Life Sciences,Male,1,Laboratory Technician,4,Married,4,No,18,8,5,3,1,0,743,0-5 Years,6-10 Years,58000,50K - 100K,4
RM801,28,26-35,Yes,Research & Development,Medical,Male,1,Laboratory Technician,2,Divorced,1,No,15,1,2,3,1,0,801,0-5 Years,0-5 Years,58000,50K - 100K,2
RM831,41,36-45,No,Research & Development,Life Sciences,Male,1,Laboratory Technician,4,Married,3,Yes,11,6,4,3,1,0,831,0-5 Years,6-10 Years,58000,50K - 100K,3
RM851,32,26-35,No,Sales,Life Sciences,Female,1,Sales Representative,1,Divorced,1,No,12,1,3,3,1,0,851,0-5 Years,0-5 Years,80000,50K - 100K,2
RM865,41,36-45,Yes,Research & Development,Life Sciences,Male,1,Research Scientist,1,Divorced,6,No,17,5,2,1,1,0,865,0-5 Years,0-5 Years,145000,100K - 150K,3
RM872,24,18-25,Yes,Research & Development,Life Sciences,Female,1,Laboratory Technician,2,Married,1,No,13,1,3,1,1,0,872,0-5 Years,0-5 Years,58000,50K - 100K,2
RM902,48,46-55,No,Research & Development,Technical Degree,Male,1,Laboratory Technician,2,Single,5,No,11,7,4,2,1,0,902,0-5 Years,6-10 Years,58000,50K - 100K,3
RM907,34,26-35,No,Research & Development,Technical Degree,Female,1,Research Scientist,3,Married,0,No,17,2,5,2,1,0,907,0-5 Years,0-5 Years,145000,100K - 150K,2
RM910,19,18-25,No,Research & Development,Life Sciences,Female,1,Research Scientist,4,Single,1,Yes,12,1,2,3,1,0,910,0-5 Years,0-5 Years,145000,100K - 150K,2
RM971,27,26-35,No,Sales,Medical,Female,1,Sales Representative,4,Married,8,No,14,5,4,3,1,0,971,0-5 Years,0-5 Years,80000,50K - 100K,3
RM981,31,26-35,Yes,Sales,Life Sciences,Female,1,Sales Representative,4,Single,7,No,14,3,3,4,1,0,981,0-5 Years,0-5 Years,80000,50K - 100K,2
RM007,59,55+,No,Research & Development,Medical,Female,1,Laboratory Technician,1,Married,4,Yes,20,12,3,2,1,0,7,0-5 Years,11-15 Years,58000,50K - 100K,4
RM008,30,26-35,No,Research & Development,Life Sciences,Male,1,Laboratory Technician,3,Divorced,1,No,22,1,2,3,1,0,8,0-5 Years,0-5 Years,58000,50K - 100K,2
RM048,37,36-45,No,Research & Development,Life Sciences,Male,1,Research Scientist,2,Married,4,No,21,8,1,3,1,0,48,0-5 Years,6-10 Years,145000,100K - 150K,4
RM1033,39,36-45,Yes,Research & Development,Life Sciences,Female,1,Laboratory Technician,1,Single,2,Yes,23,11,2,4,1,0,1033,0-5 Years,11-15 Years,58000,50K - 100K,4
RM1119,26,26-35,No,Research & Development,Life Sciences,Female,1,Research Scientist,4,Married,1,No,21,1,5,3,1,0,1119,0-5 Years,0-5 Years,145000,100K - 150K,2
RM119,36,36-45,No,Research & Development,Life Sciences,Female,1,Laboratory Technician,4,Divorced,5,No,22,7,2,3,1,0,119,0-5 Years,6-10 Years,58000,50K - 100K,3
RM1340,22,18-25,Yes,Research & Development,Life Sciences,Male,1,Research Scientist,2,Single,1,Yes,23,1,2,3,1,0,1340,0-5 Years,0-5 Years,145000,100K - 150K,2
RM158,58,55+,No,Research & Development,Medical,Female,1,Research Scientist,2,Married,4,Yes,20,9,3,2,1,0,158,0-5 Years,6-10 Years,145000,100K - 150K,4
RM287,44,36-45,Yes,Research & Development,Life Sciences,Male,1,Laboratory Technician,3,Divorced,3,Yes,22,19,0,1,1,0,287,0-5 Years,16-20 Years,58000,50K - 100K,3
RM386,30,26-35,Yes,Research & Development,Technical Degree,Male,1,Research Scientist,4,Single,9,Yes,23,3,4,3,1,0,386,0-5 Years,0-5 Years,145000,100K - 150K,2
RM417,38,36-45,No,Research & Development,Life Sciences,Male,1,Laboratory Technician,4,Married,1,Yes,23,1,3,3,1,0,417,0-5 Years,0-5 Years,58000,50K - 100K,2
RM477,24,18-25,No,Research & Development,Other,Male,1,Laboratory Technician,2,Married,1,No,21,1,2,3,1,0,477,0-5 Years,0-5 Years,58000,50K - 100K,2
RM502,30,26-35,No,Research & Development,Medical,Female,1,Research Scientist,3,Divorced,1,No,20,1,2,3,1,0,502,0-5 Years,0-5 Years,145000,100K - 150K,2
RM657,32,26-35,Yes,Research & Development,Life Sciences,Male,1,Laboratory Technician,4,Single,1,Yes,24,1,2,1,1,0,657,0-5 Years,0-5 Years,58000,50K - 100K,2
RM701,58,55+,Yes,Research & Development,Technical Degree,Male,1,Research Scientist,3,Single,4,No,24,7,4,3,1,0,701,0-5 Years,6-10 Years,145000,100K - 150K,3
RM765,28,26-35,No,Sales,Medical,Male,1,Sales Representative,2,Married,1,No,22,1,5,3,1,0,765,0-5 Years,0-5 Years,80000,50K - 100K,2
RM911,23,18-25,No,Research & Development,Life Sciences,Male,1,Research Scientist,3,Married,1,No,22,1,2,3,1,0,911,0-5 Years,0-5 Years,145000,100K - 150K,2
RM034,39,36-45,Yes,Sales,Technical Degree,Male,2,Sales Representative,4,Married,3,No,14,19,6,4,1,0,34,0-5 Years,16-20 Years,80000,50K - 100K,3
RM051,48,46-55,Yes,Research & Development,Life Sciences,Male,3,Laboratory Technician,3,Single,9,Yes,13,23,2,3,1,0,51,0-5 Years,21-30 Years,58000,50K - 100K,4
RM068,45,36-45,No,Research & Development,Life Sciences,Male,3,Research Scientist,1,Divorced,2,No,17,25,2,3,1,0,68,0-5 Years,21-30 Years,145000,100K - 150K,4
RM105,37,36-45,No,Research & Development,Life Sciences,Male,2,Healthcare Representative,4,Divorced,5,No,14,17,2,4,1,0,105,0-5 Years,16-20 Years,105000,100K - 150K,3
RM1052,44,36-45,No,Sales,Marketing,Female,2,Sales Executive,3,Married,7,No,12,11,4,2,1,0,1052,0-5 Years,11-15 Years,85000,50K - 100K,4
RM1122,36,36-45,No,Sales,Life Sciences,Female,2,Sales Executive,3,Single,6,No,13,15,5,3,1,0,1122,0-5 Years,11-15 Years,85000,50K - 100K,3
RM1127,50,46-55,No,Sales,Marketing,Male,5,Manager,3,Married,4,Yes,16,27,2,3,1,0,1127,0-5 Years,21-30 Years,195000,150K - 200K,4
RM1130,42,36-45,No,Research & Development,Other,Male,5,Manager,4,Single,8,No,22,24,2,3,1,0,1130,0-5 Years,21-30 Years,195000,150K - 200K,4
RM115,34,26-35,No,Research & Development,Life Sciences,Female,2,Research Scientist,2,Divorced,6,No,15,12,3,3,1,0,115,0-5 Years,11-15 Years,145000,100K - 150K,4
RM1210,60,55+,No,Research & Development,Medical,Male,3,Healthcare Representative,4,Divorced,3,No,20,19,2,4,1,0,1210,0-5 Years,16-20 Years,105000,100K - 150K,3
RM1230,40,36-45,No,Research & Development,Life Sciences,Female,2,Manufacturing Director,1,Married,2,Yes,16,18,3,3,1,0,1230,0-5 Years,16-20 Years,380000,200K+,3
RM1235,47,46-55,No,Sales,Marketing,Male,2,Sales Executive,2,Married,7,No,11,4,3,1,1,0,1235,0-5 Years,0-5 Years,85000,50K - 100K,3
RM1258,31,26-35,Yes,Sales,Marketing,Male,3,Sales Executive,3,Married,2,No,13,10,2,3,1,0,1258,0-5 Years,6-10 Years,85000,50K - 100K,4
RM1265,55,46-55,No,Research & Development,Medical,Male,5,Research Director,1,Married,8,No,12,34,2,3,1,0,1265,0-5 Years,31-40 Years,310000,200K+,4
RM1316,36,36-45,No,Research & Development,Other,Female,2,Research Scientist,2,Married,4,Yes,22,15,2,3,1,0,1316,0-5 Years,11-15 Years,145000,100K - 150K,3
RM1375,58,55+,No,Sales,Life Sciences,Female,4,Manager,4,Married,4,Yes,13,29,2,2,1,0,1375,0-5 Years,21-30 Years,195000,150K - 200K,4
RM1395,32,26-35,No,Research & Development,Life Sciences,Male,2,Manufacturing Director,4,Single,8,No,24,8,1,3,1,0,1395,0-5 Years,6-10 Years,380000,200K+,4
RM157,51,46-55,No,Research & Development,Medical,Male,2,Manufacturing Director,3,Married,2,No,17,10,2,3,1,0,157,0-5 Years,6-10 Years,380000,200K+,4
RM193,35,26-35,Yes,Research & Development,Life Sciences,Male,2,Manufacturing Director,3,Married,3,Yes,13,8,1,3,1,0,193,0-5 Years,6-10 Years,380000,200K+,4
RM199,38,36-45,No,Research & Development,Life Sciences,Male,2,Manufacturing Director,3,Married,9,No,14,14,3,3,1,0,199,0-5 Years,11-15 Years,380000,200K+,3
RM205,38,36-45,Yes,Research & Development,Medical,Male,2,Healthcare Representative,1,Married,7,Yes,19,17,2,3,1,0,205,0-5 Years,16-20 Years,105000,100K - 150K,3
RM216,41,36-45,No,Sales,Life Sciences,Female,3,Manager,4,Single,3,Yes,18,16,3,3,1,0,216,0-5 Years,16-20 Years,195000,150K - 200K,3
RM243,41,36-45,No,Research & Development,Life Sciences,Male,2,Research Scientist,1,Divorced,2,No,16,17,2,2,1,0,243,0-5 Years,16-20 Years,145000,100K - 150K,3
RM251,37,36-45,Yes,Research & Development,Medical,Male,3,Manufacturing Director,3,Divorced,6,No,11,17,5,3,1,0,251,0-5 Years,16-20 Years,380000,200K+,3
RM328,39,36-45,Yes,Sales,Medical,Female,2,Sales Executive,3,Married,4,Yes,18,12,3,2,1,0,328,0-5 Years,11-15 Years,85000,50K - 100K,4
RM334,43,36-45,No,Research & Development,Life Sciences,Female,3,Healthcare Representative,1,Married,8,No,16,10,1,2,1,0,334,0-5 Years,6-10 Years,105000,100K - 150K,4
RM349,42,36-45,No,Research & Development,Life Sciences,Female,4,Research Director,4,Single,2,No,14,16,2,3,1,0,349,0-5 Years,16-20 Years,310000,200K+,3
RM357,42,36-45,No,Research & Development,Other,Male,2,Healthcare Representative,4,Single,3,No,23,14,6,3,1,0,357,0-5 Years,11-15 Years,105000,100K - 150K,3
RM359,36,36-45,No,Sales,Medical,Female,2,Sales Executive,4,Single,4,No,15,7,6,3,1,0,359,0-5 Years,6-10 Years,85000,50K - 100K,3
RM366,46,46-55,No,Research & Development,Medical,Female,2,Manufacturing Director,3,Married,2,No,14,7,2,4,1,0,366,0-5 Years,6-10 Years,380000,200K+,3
RM390,37,36-45,No,Research & Development,Life Sciences,Male,2,Manufacturing Director,2,Single,2,Yes,12,18,2,2,1,0,390,0-5 Years,16-20 Years,380000,200K+,3
RM392,40,36-45,No,Research & Development,Medical,Female,2,Laboratory Technician,3,Married,6,No,22,20,3,3,1,0,392,0-5 Years,16-20 Years,58000,50K - 100K,3
RM425,57,55+,No,Sales,Marketing,Male,4,Manager,4,Divorced,3,No,12,32,3,2,1,0,425,0-5 Years,31-40 Years,195000,150K - 200K,4
RM432,54,46-55,No,Research & Development,Life Sciences,Female,2,Laboratory Technician,3,Single,7,No,11,19,3,3,1,0,432,0-5 Years,16-20 Years,58000,50K - 100K,3
RM440,31,26-35,Yes,Research & Development,Life Sciences,Male,3,Healthcare Representative,3,Married,3,No,12,12,2,3,1,0,440,0-5 Years,11-15 Years,105000,100K - 150K,4
RM459,40,36-45,No,Sales,Other,Male,3,Sales Executive,1,Divorced,3,No,15,20,2,3,1,0,459,0-5 Years,16-20 Years,85000,50K - 100K,3
RM472,38,36-45,No,Research & Development,Medical,Female,2,Healthcare Representative,3,Married,3,No,19,18,4,3,1,0,472,0-5 Years,16-20 Years,105000,100K - 150K,3
RM490,43,36-45,No,Research & Development,Other,Male,4,Research Director,4,Divorced,4,Yes,14,21,3,2,1,0,490,0-5 Years,21-30 Years,310000,200K+,4
RM543,38,36-45,No,Research & Development,Life Sciences,Female,3,Manufacturing Director,3,Single,4,Yes,14,10,4,4,1,0,543,0-5 Years,6-10 Years,380000,200K+,4
RM558,35,26-35,No,Research & Development,Life Sciences,Female,2,Healthcare Representative,1,Divorced,2,No,11,16,2,4,1,0,558,0-5 Years,16-20 Years,105000,100K - 150K,3
RM602,40,36-45,No,Research & Development,Medical,Male,2,Laboratory Technician,3,Single,6,No,14,10,6,3,1,0,602,0-5 Years,6-10 Years,58000,50K - 100K,4
RM629,37,36-45,No,Sales,Marketing,Male,2,Sales Executive,3,Divorced,4,No,19,9,2,3,1,0,629,0-5 Years,6-10 Years,85000,50K - 100K,4
RM662,43,36-45,No,Research & Development,Life Sciences,Female,2,Manufacturing Director,2,Divorced,4,No,21,4,2,4,1,0,662,0-5 Years,0-5 Years,380000,200K+,3
RM685,40,36-45,No,Sales,Marketing,Male,3,Sales Executive,2,Divorced,2,No,12,11,2,2,1,0,685,0-5 Years,11-15 Years,85000,50K - 100K,4
RM707,40,36-45,Yes,Sales,Life Sciences,Female,4,Sales Executive,2,Single,4,Yes,16,22,2,2,1,0,707,0-5 Years,21-30 Years,85000,50K - 100K,4
RM742,42,36-45,No,Sales,Marketing,Male,5,Manager,3,Married,6,No,13,21,3,4,1,0,742,0-5 Years,21-30 Years,195000,150K - 200K,4
RM745,37,36-45,Yes,Research & Development,Medical,Female,2,Healthcare Representative,2,Married,5,No,15,15,2,1,1,0,745,0-5 Years,11-15 Years,105000,100K - 150K,3
RM748,38,36-45,No,Sales,Life Sciences,Male,2,Sales Executive,4,Single,8,Yes,12,19,1,3,1,0,748,0-5 Years,16-20 Years,85000,50K - 100K,3
RM762,36,36-45,Yes,Research & Development,Other,Male,2,Laboratory Technician,3,Divorced,7,No,14,9,3,2,1,0,762,0-5 Years,6-10 Years,58000,50K - 100K,4
RM776,43,36-45,No,Sales,Medical,Male,3,Sales Executive,4,Divorced,5,No,13,18,5,3,1,0,776,0-5 Years,16-20 Years,85000,50K - 100K,3
RM796,37,36-45,No,Sales,Life Sciences,Female,2,Sales Executive,4,Divorced,2,Yes,14,8,5,3,1,0,796,0-5 Years,6-10 Years,85000,50K - 100K,4
RM812,38,36-45,No,Sales,Marketing,Male,3,Sales Executive,2,Single,7,No,16,10,2,3,1,0,812,0-5 Years,6-10 Years,85000,50K - 100K,4
RM825,42,36-45,No,Research & Development,Medical,Male,2,Laboratory Technician,4,Single,4,No,19,16,3,3,1,0,825,0-5 Years,16-20 Years,58000,50K - 100K,3
RM888,42,36-45,No,Research & Development,Medical,Female,3,Research Director,1,Married,3,Yes,17,20,6,3,1,0,888,0-5 Years,16-20 Years,310000,200K+,3
RM900,49,46-55,No,Research & Development,Medical,Male,5,Manager,3,Married,2,No,13,23,2,4,1,0,900,0-5 Years,21-30 Years,195000,150K - 200K,4
RM905,48,46-55,No,Research & Development,Life Sciences,Male,5,Research Director,4,Single,6,No,12,25,3,4,1,0,905,0-5 Years,21-30 Years,310000,200K+,4
RM926,42,36-45,No,Research & Development,Medical,Female,2,Research Scientist,2,Married,6,Yes,16,18,2,3,1,0,926,0-5 Years,16-20 Years,145000,100K - 150K,3
RM003,37,36-45,Yes,Research & Development,Other,Male,1,Laboratory Technician,3,Single,6,Yes,15,7,3,3,0,0,3,0-5 Years,6-10 Years,58000,50K - 100K,3
RM024,21,18-25,No,Research & Development,Life Sciences,Male,1,Research Scientist,4,Single,1,No,14,0,6,3,0,0,24,0-5 Years,0-5 Years,145000,100K - 150K,2
RM066,55,46-55,No,Research & Development,Medical,Female,4,Manager,3,Divorced,2,Yes,14,21,2,3,5,0,66,0-5 Years,21-30 Years,195000,150K - 200K,4
RM078,45,36-45,No,Research & Development,Other,Male,3,Research Director,1,Married,4,Yes,14,17,3,4,0,0,78,0-5 Years,16-20 Years,310000,200K+,3
RM087,23,18-25,No,Sales,Technical Degree,Male,1,Sales Representative,1,Divorced,3,No,13,3,3,3,0,0,87,0-5 Years,0-5 Years,80000,50K - 100K,2
RM1061,24,18-25,Yes,Research & Development,Medical,Male,1,Laboratory Technician,1,Single,2,Yes,11,4,2,2,0,0,1061,0-5 Years,0-5 Years,58000,50K - 100K,3
RM1069,28,26-35,Yes,Research & Development,Medical,Male,1,Laboratory Technician,1,Single,7,No,11,8,2,2,0,0,1069,0-5 Years,6-10 Years,58000,50K - 100K,4
RM1075,33,26-35,No,Research & Development,Life Sciences,Male,2,Healthcare Representative,3,Single,2,Yes,17,14,6,3,0,0,1075,0-5 Years,11-15 Years,105000,100K - 150K,3
RM110,22,18-25,No,Research & Development,Medical,Female,1,Laboratory Technician,4,Single,1,No,15,1,5,3,0,0,110,0-5 Years,0-5 Years,58000,50K - 100K,2
RM1136,46,46-55,No,Sales,Life Sciences,Male,4,Manager,1,Single,1,No,15,27,5,1,26,0,1136,20+ Years,21-30 Years,195000,150K - 200K,5
RM1154,18,18-25,Yes,Sales,Medical,Female,1,Sales Representative,4,Single,1,Yes,12,0,2,4,0,0,1154,0-5 Years,0-5 Years,80000,50K - 100K,2
RM1189,29,26-35,No,Sales,Medical,Male,2,Sales Executive,2,Divorced,1,Yes,13,10,3,2,10,0,1189,6-10 Years,6-10 Years,85000,50K - 100K,4
RM1192,31,26-35,No,Sales,Life Sciences,Female,2,Sales Executive,4,Married,1,No,11,10,2,3,10,0,1192,6-10 Years,6-10 Years,85000,50K - 100K,4
RM1197,41,36-45,No,Sales,Life Sciences,Male,3,Sales Executive,3,Single,3,Yes,16,21,2,3,2,0,1197,0-5 Years,21-30 Years,85000,50K - 100K,4
RM1203,38,36-45,No,Research & Development,Medical,Female,1,Laboratory Technician,3,Married,7,No,19,7,5,2,0,0,1203,0-5 Years,6-10 Years,58000,50K - 100K,3
